2,446,395
2,446,395
2,446,395
2,446,395
2,446,395
2,446,395
2,446,395
$8,397,847
1,532,839
2,446,395
$5,223,997
9,400,233
$3,251,565
1,771,028
2,446,395
2,446,395
$2,977,854
2,446,395
$1,228,931
$9,855,525
2,045,471
2,446,395
2,518,111
2,446,395
2,659,521
$8,715,756
2,446,395
$7,446,157
$4,068,610
268,286
$10,990
$6,245,492
2,446,395
2,446,395
2,446,395
3,544,271
$4,172,782
2,446,395
2,446,395
2,446,395
2,446,395
2,446,395
$3,375,018
2,446,395
2,446,395
2,446,395
2,446,395
2,446,395
2,446,395
2,446,395
$1,559,358
3,488,401
2,446,395
1,017,773
8,044,804
2,446,395
2,446,395
7,714,114
2,446,395
2,446,395
2,446,395
3,333,508
$5,080,753
2,446,395
2,446,395
2,446,395
$3,285,079
2,446,395
2,446,395
2,446,395
$6,151,060
2,446,395
2,446,395
2,446,395
2,446,395
5,253,009
2,446,395
2,446,395
3,707,464
792,048
$8,409,222
7,178,002
2,446,395
2,446,395
2,087,785
2,446,395
$6,359,299
$161,059
1,870,359
2,446,395
2,446,395
$4,023,495
2,446,395
7,333,360
2,446,395
$3,777,446
2,446,395
2,446,395
$5,125,823
$7,165,069
$110,316
2,446,395
2,446,395
2,446,395
2,446,395
$645,904
2,446,395
$5,800,615
2,446,395
2,446,395
2,446,395
93,619
2,446,395
2,446,395
9,630,781
2,446,395
$9,462,903
2,446,395
2,446,395
$6,621,901
$9,466,964
2,446,395
2,446,395
2,446,395
$9,271,348
2,446,395
2,446,395
2,446,395
$4,959,011
$6,814,369
2,446,395
2,446,395
8,826,335
3,689,910
2,446,395
$5,469,771
$9,961,974
2,446,395
2,446,395
$155,356
2,446,395
5,795,878
6,572,675
8,485,084
$3,434,910
$6,558,665
2,446,395
$7,539,312
2,446,395
2,446,395
4,865,448
7,440,465
2,446,395
2,446,395
$638,114
$1,862,842
2,446,395
$2,084,331
3,271,165
4,517,371
$5,070,967
2,446,395
$411,130
6,385,878
2,195,642
2,446,395
2,446,395
6,443,533
2,446,395
2,446,395
2,430,669
$562,071
2,446,395
2,446,395
3,755,807
2,446,395
2,446,395
$2,708,286
9,275,262
2,446,395
7,911,280
2,446,395
2,446,395
7,197,314
$1,156,884
$3,736,275
2,446,395
$1,399,588
2,446,395
7,029,479
$7,008,504
2,446,395
3,878,471
2,446,395
8,946,380
6,642,583
2,446,395
2,446,395
2,446,395
$5,024,611
2,446,395
$1,762,159
2,446,395
2,446,395
2,446,395
2,446,395
443,719
2,446,395
7,400,363
5,709,359
$2,588,184
$7,130,168
5,144,141
4,561,462
2,446,395
$3,345,830
2,446,395
7,603,627
2,446,395
$45,000
2,446,395
$5,410,031
3,420,633
2,446,395
2,446,395
2,446,395
2,446,395
2,446,395
2,446,395
5,957,902
2,446,395
2,446,395
6,826,482
2,446,395
$8,757,968
2,446,395
5,310,959
7,156,412
2,446,395
2,446,395
2,446,395
$7,040,970
$6,384,862
9,258,928
$7,299,958
2,446,395
2,446,395
2,446,395
$1,501,597
2,446,395
6,230,112
$1,703,569
7,376,931
3,838,373
4,128,880
5,153,932
$3,441,692
2,446,395
$255,737
31,000
12,000
2,446,395
5,732,452
3,983,954
2,446,395
2,446,395
9,505,024
$214,033
2,446,395
2,446,395
7,992,008
2,446,395
1,613,107
2,446,395
8,099,749
$3,373,762
2,446,395
2,446,395
662,035
2,446,395
$5,621,711
7,341,758
$8,164,512
37,317
$3,645,987
9,570,548
670,374
2,446,395
$320,067
$6,059,065
2,139,477
$1,677,512
2,446,395
2,446,395
7,353,183
2,446,395
2,446,395
$4,003,428
2,446,395
$3,574,741
2,446,395
2,446,395
2,446,395
2,446,395
2,446,395
$668,432
$9,064,543
2,446,395
$2,219,299
4,103,089
2,446,395
$1,795,307
7,743,645
2,446,395
2,446,395
